CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,COLEGIO COBAN,KILOMETRO.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,GUSTAVO ADOLFO SIERRA POP,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,COLEGIO PARTICULAR MIXTO IMPERIAL,KILOMETRO 209.5 ENTRADA A LA CIUDAD,77367402,GILMA DOLORES GUAY PAZ DE LEAL,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,78232301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,COLEGIO LA INMACULADA,7A. AVENIDA 11-109 ZONA 6,78232301,VIRGINIA SOLANO SERRANO,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,NORA LILIANA FIGUEROA HERNNDEZ,HɃTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,HɃTOR ROLANDO CHUN POOU,NORA LILIANA FIGUEROA HERNNDEZ,COBÁN,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNNDEZ,VICTOR HUGO DOM͎GUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A AVENIDA 6-23 ZONA 11,79521468,VICTOR HUGO DOMGUEZ REYES,NORA LILIANA FIGUEROA HERNNDEZ,COBÁN,URBANA,OFICIAL,BILINGUE,VESPERTINA,DIARIO(REGULAR)
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIс ESPAс,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,alta_verapaz,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,MYNOR GUSTAVO IPIС ESPAС,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,79522555,PATRICIO NAJARRO ASENCIO,HɃTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,alta_verapaz,LICEO MODERNO LATINO,11 AVENIDA 5-17 ZONA 4,79522555,HɃTOR ARMANDO TEYUL CHEN,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTӎ LAS CASAS",77930045,NORA LILIANA FIGUEROA HERNNDEZ,HELSON MARCO CHɎ GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTӍ LAS CASAS",77930045,HELSON MARCO CHɎ GUTIERREZ,NORA LILIANA FIGUEROA HERNNDEZ,COBÁN,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AV. 2-12 ZONA 1,79545566,PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,COLEGIO DE INFORMATICA CENINFAV,12 AVENIDA. 2-12 ZONA 1,79545566,MARIA MAGDALENA BOL CU,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSɠCUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,alta_verapaz,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,JOSƓCUPERTINO REYES GARCIA,PATRICIO NAJARRO ASENCIO,COBÁN,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
