CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
15-01-0050-46,15-001,BAJA VERAPAZ,SALAMA,ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL,13 AVENIDA 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN,79400455,IRIS QUETZAL͠ORDOхZ TURCIOS,ELGI WALTER BOTEO GARĆ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL,13 AVENIDA 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN,79400455,ELGI WALTER BOTEO GARC,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
15-01-0051-46,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZAL͠ORDOхZ TURCIOS,ELIA N͖EA LӐEZ GARĆ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,COLEGIO PARTICULAR MIXTO TEZULUTLN,"DIAGONAL 4, 1-24 ZONA 2",79400182,ELIA NEA LӐEZ GARC,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
15-01-0052-46,15-030,BAJA VERAPAZ,SALAMA,LICEO MIXTO SAN MATEO,9A. AVENIDA 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,CARMEN ALICIA HERNNDEZ GUILLERMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,LICEO MIXTO SAN MATEO,9A. AVENIDA 6-67 ZONA 1,79401926,CARMEN ALICIA HERNNDEZ GUILLERMO,NELSON JOEL HERNANDEZ HERNANDEZ,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
15-01-0087-46,15-001,BAJA VERAPAZ,SALAMA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"13 AVENIDA 7-41, ZONA 2, BARRIO HACIENDA DE LA VIRGEN",53009229,IRIS QUETZAL͠ORDOхZ TURCIOS,ROSALINA NADEYDA TOJ MORENTE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"13 AVENIDA 7-41, ZONA 2, BARRIO HACIENDA DE LA VIRGEN",53009229,ROSALINA NADEYDA TOJ MORENTE,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
15-01-0099-46,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZAL͠ORDOхZ TURCIOS,ELIA N͖EA LӐEZ GARĆ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,COLEGIO PARTICULAR MIXTO TEZULUTLN,"DIAGONAL 4, 1-24 ZONA 2",79400182,ELIA NEA LӐEZ GARC,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
15-01-0109-46,15-030,BAJA VERAPAZ,SALAMA,CENTRO ESTUDIANTIL MIGUEL NGEL ASTURIAS,"RUTA 4, ZONA 5, DEL BARRIO SANTA ELENA",56913283,NELSON JOEL HERNANDEZ HERNANDEZ,JORGE EMILIO SOTO LӐEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,baja_verapaz,CENTRO ESTUDIANTIL MIGUEL NGEL ASTURIAS,"RUTA 4, ZONA 5, DEL BARRIO SANTA ELENA",56913283,JORGE EMILIO SOTO LӐEZ,NELSON JOEL HERNANDEZ HERNANDEZ,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
15-01-0111-46,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"RUTA 4, 12-68 ZONA 5, BARRIO SANTA ELENA",79540830-79540909,IRIS QUETZAL͠ORDOхZ TURCIOS,VICTOR GERARDO RODAS CARDONA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"RUTA 4, 12-68 ZONA 5, BARRIO SANTA ELENA",79540830,VICTOR GERARDO RODAS CARDONA,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
15-01-0112-46,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"RUTA 4, 12-68 ZONA 5, BARRIO SANTA ELENA",79540830-79540909,IRIS QUETZAL͠ORDOхZ TURCIOS,VICTOR GERARDO RODAS CARDONA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"RUTA 4, 12-68 ZONA 5, BARRIO SANTA ELENA",79540830,VICTOR GERARDO RODAS CARDONA,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
15-01-0113-46,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,RUTA 4 12-68 ZONA 5 BARRIO SANTA ELENA,79540830,IRIS QUETZAL͠ORDOхZ TURCIOS,ELGI WALTER BOTEO GARĆ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,baja_verapaz,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,RUTA 4 12-68 ZONA 5 BARRIO SANTA ELENA,79540830,ELGI WALTER BOTEO GARC,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
15-01-0116-46,15-001,BAJA VERAPAZ,SALAMA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHILASCӼ/td>,30308037,IRIS QUETZAL͠ORDOхZ TURCIOS,LESTER MATEO QUEJ GARCIA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,baja_verapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHILASCӼTD,30308037,LESTER MATEO QUEJ GARCIA,IRIS QUETZALORDOХZ TURCIOS,SALAMÁ,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
