CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
00-01-0158-46,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNICO PROGRESISTA CETECPRO,2A. AVENIDA 3-59,22512759,AMADO SALOMON FLORES PEREZ,IRMA AMPARO TOLEDO HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,COLEGIO TECNICO PROGRESISTA CETECPRO,2A. AVENIDA 3-59,22512759,IRMA AMPARO TOLEDO HERNANDEZ,AMADO SALOMON FLORES PEREZ,ZONA 1,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
00-01-0173-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL PARA SEяRITAS CENTRO AMERICA,1A CALLE 2-64,22323424,LUCRECIA MARISOL CERMEя GONZLEZ,INGRID MARIELA ESPINA ORELLANA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,INSTITUTO NORMAL PARA SEЯRITAS CENTRO AMERICA,1A CALLE 2-64,22323424,INGRID MARIELA ESPINA ORELLANA,LUCRECIA MARISOL CERMEЯ GONZLEZ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
00-01-0174-46,01-307,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-27,22322985,NORMA ARACELY PALOMO FRANCO DE DIAZ,FRANCISCO RENɠCONTRERAS AQUINO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-27,22322985,FRANCISCO RENƓCONTRERAS AQUINO,NORMA ARACELY PALOMO FRANCO DE DIAZ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
00-01-0176-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,22202223,LUCRECIA MARISOL CERMEя GONZLEZ,FREDY HUMBERTO GONZLEZ SANTISTEBAN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,INSTITUTO DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,22202223,FREDY HUMBERTO GONZLEZ SANTISTEBAN,LUCRECIA MARISOL CERMEЯ GONZLEZ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
00-01-0178-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,22320914,CARLOS HUMBERTO GONZLEZ DE LEӎ,ESWIN NOE ROSALES LӐEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,22320914,ESWIN NOE ROSALES LӐEZ,CARLOS HUMBERTO GONZLEZ DE LEӍ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
00-01-0179-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,"10A. AVENIDA 2-24,",58068368,CARLOS HUMBERTO GONZLEZ DE LEӎ,JULIO CESAR SANTOS CAMPOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,"10A. AVENIDA 2-24,",58068368,JULIO CESAR SANTOS CAMPOS,CARLOS HUMBERTO GONZLEZ DE LEӍ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR)
00-01-0180-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,42201837,CARLOS HUMBERTO GONZLEZ DE LEӎ,JULIO ERNESTO GONZLEZ HERNNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,42201837,JULIO ERNESTO GONZLEZ HERNNDEZ,CARLOS HUMBERTO GONZLEZ DE LEӍ,ZONA 1,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
00-01-0183-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL 'CASA CENTRAL',1A AVE. 13-63,22384684,AMADO SALOMON FLORES PEREZ,SILVIA LETICIA PERɎ POYӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,INSTITUTO NORMAL CASA CENTRAL,1A AVENIDA. 13-63,22384684,SILVIA LETICIA PERɎ POYӍ,AMADO SALOMON FLORES PEREZ,ZONA 1,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
00-01-0186-46,01-315,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIӎ,3A. CALLE 7-64,22329406,AURA MARINA GARRIDO MORALES,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,22329406,ELUBIA ANAYTE SIGUENZA MONTERROSO,AURA MARINA GARRIDO MORALES,ZONA 1,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
00-01-0191-46,01-318,CIUDAD CAPITAL,ZONA 1,INSTITUTO MIXTO COACTEMALAN,11 CALLE 10-43,22325522,LESLIE AZUCENA MONZON TECUN,NANCY ALEIDA BANCES ARɖALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ciudad_capital,INSTITUTO MIXTO COACTEMALAN,11 CALLE 10-43,22325522,NANCY ALEIDA BANCES ARƉALO,LESLIE AZUCENA MONZON TECUN,ZONA 1,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
