CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
02-01-0027-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO TECNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,79450881.0,CARLA MARLENY ALDANA RODAS,JOSɠARTURO LӐEZ ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO TECNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,79450881,JOSƓARTURO LӐEZ ORTIZ,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,DOBLE,DIARIO(REGULAR)
02-01-0028-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265.0,CARLA MARLENY ALDANA RODAS,DANIEL LӐEZ SOL͓,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES,BARRIO EL PORVENIR,79451265,DANIEL LӐEZ SOL,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-01-0031-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO EL PORVENIR,54422753.0,CARLA MARLENY ALDANA RODAS,ILIANA ARACELY LZARO HERNNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO EL PORVENIR,54422753,ILIANA ARACELY LZARO HERNNDEZ,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-01-0045-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACIӎ MEDIA POR MADUREZ,BARRIO EL PORVENIR,56719955.0,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAхZ MORN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,INSTITUTO DE EDUCACIӍ MEDIA POR MADUREZ,BARRIO EL PORVENIR,56719955,NORA REBECA IBAХZ MORN,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-01-0049-46,02-021,EL PROGRESO,GUASTATOYA,CENTRO MUNICIPAL DE EDUCACIӎ EXTRAESCOLAR -CEEX-,COLONIA LINDA VISTA,58250827.0,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,SANDRA PAOLA MORALES GARĆ,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,CENTRO MUNICIPAL DE EDUCACIӍ EXTRAESCOLAR -CEEX-,COLONIA LINDA VISTA,58250827,SANDRA PAOLA MORALES GARC,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,GUASTATOYA,RURAL,MUNICIPAL,MONOLINGUE,DOBLE,FIN DE SEMANA
02-01-0054-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993.0,CARLOTA EUGENIA ALBUREZ AGUILAR,IRIS ORFEL͠LOAIZA MOSCOSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993,IRIS ORFELLOAIZA MOSCOSO,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-01-0061-46,02-021,EL PROGRESO,GUASTATOYA,PROGRAMA NACIONAL DE EDUCACIӎ ALTERNATIVA -PRONEA-,BARRIO LAS JOYAS CEMENTERIO VIEJO,79637575.0,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARTA ELIDA CARIAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,EL PROGRESO,el_progreso,PROGRAMA NACIONAL DE EDUCACIӍ ALTERNATIVA PRONEA,BARRIO LAS JOYAS CEMENTERIO VIEJO,79637575,MARTA ELIDA CARIAS,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,DOBLE,A DISTANCIA
02-01-0062-46,02-021,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",37962236.0,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,HELLEN CELESTE MARROQUIN CORADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,el_progreso,CENTRO DE EDUCACIӍ EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",37962236,HELLEN CELESTE MARROQUIN CORADO,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,DOBLE,DIARIO(REGULAR)
02-01-0066-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR",47406758.0,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR",47406758,DELFINA MARISOL PAZOS RAMOS,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-01-0068-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONIA HICHOS BARRIO EL PORVENIR GUASTATOYA,47406758.0,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONIA HICHOS BARRIO EL PORVENIR GUASTATOYA,47406758,DELFINA MARISOL PAZOS RAMOS,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
