CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
05-01-0110-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAя Y VILLEGAS,1A AVE. SUR 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,CARLOS JOSE RODRIGO RODRIGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAЯ Y VILLEGAS,1A AVENIDA. SUR 10-30 ZONA 1,78880048,CARLOS JOSE RODRIGO RODRIGUEZ,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-01-0119-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO ESCOLAR NUESTRA SEяRA DE CONCEPCION,KM. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZLEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO ESCOLAR NUESTRA SEЯRA DE CONCEPCION,KILOMETRO. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,MILTON LAUREANO GONZLEZ LARIOS,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-01-0121-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO EXPERIMENTAL DEL SUR,1A. CALLE 2-38 ZONA 3,31651314,REMY ARTURO SINAY GUDIEL,JUAN ROMEO SUREZ CHACӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO TECNICO EXPERIMENTAL DEL SUR,1A. CALLE 2-38 ZONA 3,31651314,JUAN ROMEO SUREZ CHACӍ,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-01-0126-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILING܅,1A AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LӐEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILING,1A AVENIDA 6-60 ZONA 4,78890988,GIEZI HAZAEL LӐEZ BLANCO,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-01-0131-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS',5A AVE 6-61 ZONA 1,,REMY ARTURO SINAY GUDIEL,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO ESTUDIANTIL MIGUEL NGEL ASTURIAS,5A AVENIDA 6-61 ZONA 1,,,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
05-01-0144-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,"3A. AV. 5-52 ZONA 1 ESCUINTLA,",78894544,REMY ARTURO SINAY GUDIEL,NIDIA AMARILIS GALVEZ CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,escuintla,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,"3A. AVENIDA. 5-52 ZONA 1 ESCUINTLA,",78894544,NIDIA AMARILIS GALVEZ CHAVEZ,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
05-01-0145-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD,4A. AVE. SUR 15-20 ZONA 4,78893272,REMY ARTURO SINAY GUDIEL,MARIELA FLORIBɌ MɎDEZ MALDONADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD,4A. AVENIDA. SUR 15-20 ZONA 4,78893272,MARIELA FLORIBɌ MɎDEZ MALDONADO,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-01-0146-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL MIXTA NOCTURNA DE CIENCIAS COMERCIALES,1A AVE. 10-30 ZONA 1,57171570,REMY ARTURO SINAY GUDIEL,LEONEL ARNULFO ORTEGA MORATAYA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA,escuintla,ESCUELA NACIONAL MIXTA NOCTURNA DE CIENCIAS COMERCIALES,1A AVENIDA. 10-30 ZONA 1,57171570,LEONEL ARNULFO ORTEGA MORATAYA,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
05-01-0184-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEсNZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,REMY ARTURO SINAY GUDIEL,MAŔ EUGENIA BARRERA BARREDA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEСNZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,MAR EUGENIA BARRERA BARREDA,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-01-0187-46,05-033,ESCUINTLA,ESCUINTLA,LICEO INTEGRAL DEL SUR,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78268277,REMY ARTURO SINAY GUDIEL,KIMBERLY KARINA GUZMN MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,LICEO INTEGRAL DEL SUR,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78268277,KIMBERLY KARINA GUZMN MORALES,REMY ARTURO SINAY GUDIEL,ESCUINTLA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
