CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
01-02-0012-46,01-502,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEсNZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJӎ",58543592,JULIA ENECON ROCA MORAN,JOSɠADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,LICEO INTEGRAL DE ENSEСNZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5E ZONA 7 ALDEA EL PAJӍ",58543592,JOSƓADOLFO ESPINOZA MORATAYA,JULIA ENECON ROCA MORAN,SANTA CATARINA PINULA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
01-02-0013-46,01-405,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEсNZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJӎ",66373741,BLANCA SARAI GUTIERREZ PINEDA,JOSɠADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE,guatemala,LICEO INTEGRAL DE ENSEСNZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5E ZONA 7 ALDEA EL PAJӍ",66373741,JOSƓADOLFO ESPINOZA MORATAYA,BLANCA SARAI GUTIERREZ PINEDA,SANTA CATARINA PINULA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
01-02-0022-46,01-510,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,6A. AVENIDA 1-10 ZONA 1,23660520,ZOILA ESPERANZA CAMEY ATZ,EDGAR EFRA͎ RAFAEL MART͎EZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,6A. AVENIDA 1-10 ZONA 1,23660520,EDGAR EFRA RAFAEL MARTEZ,ZOILA ESPERANZA CAMEY ATZ,SANTA CATARINA PINULA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
01-02-0034-46,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO BILINGUE INTEGRIDAD (INTEGRITY),"ALDEA DON JUSTO KILOMETRO 16.5 CARRETERA A SAN JOSE PINULA, CASERIO LA LAGUNETA,",66371400,LIGIA DEL ROSARIO RICCI VELASQUEZ,MAŔ VERӎICA AUYӎ OCAMPO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,COLEGIO BILING INTEGRIDAD ( INTEGRITY ),"ALDEA DON JUSTO KILOMETRO 16.5 CARRETERA A SAN JOSE PINULA, CASERIO LA LAGUNETA,",66371400,MAR VERӍICA AUYӍ OCAMPO,LIGIA DEL ROSARIO RICCI VELASQUEZ,SANTA CATARINA PINULA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
01-02-0036-46,01-502,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEсNZA COMERCIAL -LIEC-,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJӎ",58543592,JULIA ENECON ROCA MORAN,JOSɠADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,LICEO INTEGRAL DE ENSEСNZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5E ZONA 7 ALDEA EL PAJӍ",58543592,JOSƓADOLFO ESPINOZA MORATAYA,JULIA ENECON ROCA MORAN,SANTA CATARINA PINULA,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
01-02-0038-46,01-644,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACIҎ DIVERSIFICADA,"KM.14.5 CARRETERA A EL SALVADOR,ALDEA PUERTA PARADA.",66339586,LIGIA DEL ROSARIO RICCI VELASQUEZ,THELMA YOLANDA MADRID CACHIN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"KILOMETRO.14.5 CARRETERA A EL SALVADOR,ALDEA PUERTA PARADA.",66339586,THELMA YOLANDA MADRID CACHIN,LIGIA DEL ROSARIO RICCI VELASQUEZ,SANTA CATARINA PINULA,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
01-02-0039-46,01-510,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACIӎ DIVERSIFICADA,ALDEA CUCHILLA DEL CARMEN,41664195,ZOILA ESPERANZA CAMEY ATZ,SANDRA ELIZABETH GOMEZ MORALES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CUCHILLA DEL CARMEN,41664195,SANDRA ELIZABETH GOMEZ MORALES,ZOILA ESPERANZA CAMEY ATZ,SANTA CATARINA PINULA,RURAL,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
01-02-0043-46,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO VALLE VERDE CES,"KILOMETRO 17.5 CARRETERA A EL SALVADOR, FINCA LA ESPERANZA, LOTE 1 ZONA 8",66242280,LIGIA DEL ROSARIO RICCI VELASQUEZ,EDWIN ROLANDO FLORIN RAM͒EZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,COLEGIO VALLE VERDE CES,"KILOMETRO 17.5 CARRETERA A EL SALVADOR, FINCA LA ESPERANZA, LOTE 1 ZONA 8",66242280,EDWIN ROLANDO FLORIN RAMEZ,LIGIA DEL ROSARIO RICCI VELASQUEZ,SANTA CATARINA PINULA,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
01-02-0048-46,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO TECNOLOGICO SINAI,"LOTE 88 ""A"" ZONA 6 ALDEA PIEDRA PARADA CRISTO REY",66455922,LIGIA DEL ROSARIO RICCI VELASQUEZ,RONAL ALEXANDER BARRIOS PAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,COLEGIO TECNOLOGICO LA MISION,LOTE 88 A ZONA 6 ALDEA PIEDRA PARADA CRISTO REY,66455922,RONAL ALEXANDER BARRIOS PAZ,LIGIA DEL ROSARIO RICCI VELASQUEZ,SANTA CATARINA PINULA,RURAL,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
01-02-0049-46,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KILOMETRO 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON LA LABOR DE MONZON, L. 3, Z. 8.",66611170,JULIA ENECON ROCA MORAN,DORA LILI MORALES CASTILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,guatemala,COLEGIO KING DAVID,"KILOMETRO 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON LA LABOR DE MONZON, L. 3, ZONA. 8.",66611170,DORA LILI MORALES CASTILLO,JULIA ENECON ROCA MORAN,SANTA CATARINA PINULA,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
