CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
21-01-0101-46,21-002,JALAPA,JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA SEяRITAS -INCAS-,"AVENIDA CHIPILAPA 1-65, ZONA 2",79224268,JORGE ADELINO PEREZ UCELO,IRIS JANNETTE AGUIRRE CONTRERAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,INSTITUTO NORMAL CENTROAMERICANO PARA SEЯRITAS -INCAS-,"AVENIDA CHIPILAPA 1-65, ZONA 2",79224268,IRIS JANNETTE AGUIRRE CONTRERAS,JORGE ADELINO PEREZ UCELO,JALAPA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
21-01-0104-46,21-002,JALAPA,JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,"CALLE TRANSITO ROJAS, 4-82, ZONA 2, BARRIO SAN FRANCISCO",40645842,JORGE ADELINO PEREZ UCELO,LISI KARINA ESCOBAR ESPINOZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA,jalapa,INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,"CALLE TRANSITO ROJAS, 4-82, ZONA 2, BARRIO SAN FRANCISCO",40645842,LISI KARINA ESCOBAR ESPINOZA,JORGE ADELINO PEREZ UCELO,JALAPA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
21-01-0106-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1,79220013,VICTOR MANUEL PORTILLO RECINOS,EFRA͎ DE JESړ SALAZAR PERALTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA,jalapa,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1,79220013,EFRA DE JESړ SALAZAR PERALTA,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
21-01-0108-46,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR,"4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79224958-79223033,VICTOR MANUEL PORTILLO RECINOS,ROSA CORALIA PINEDA GALLARDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR,"4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79224958,ROSA CORALIA PINEDA GALLARDO,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
21-01-0111-46,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO NUEVO MILENIO""","1RA. CALLE A ZONA 3, RESIDENCIALES NUEVA JERUSALEN",79222186,VICTOR MANUEL PORTILLO RECINOS,NILSA MAGALY CORDERO GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,"1RA. CALLE A ZONA 3, RESIDENCIALES NUEVA JERUSALEN",79222186,NILSA MAGALY CORDERO GUDIEL,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
21-01-0206-46,21-005,JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"CASER͏ LA LAGUNETA, ALDEA EL DURAZNO",31233496,THELMA YANETH POLANCO PEREZ DE CAMEY,MIGDALIA IRENE SANTILLANA FUENTES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"CASER LA LAGUNETA, ALDEA EL DURAZNO",31233496,MIGDALIA IRENE SANTILLANA FUENTES,THELMA YANETH POLANCO PEREZ DE CAMEY,JALAPA,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
21-01-0233-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS,CALLE TRANSITO ROJAS 8-54 ZONA 2,56963730,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA MARINELLI MART͎EZ HERNNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,jalapa,COLEGIO PARTICULAR MIXTO OSCAR DE LEӍ PALACIOS,CALLE TRANSITO ROJAS 8-54 ZONA 2,56963730,CLAUDIA MARINELLI MARTEZ HERNNDEZ,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
21-01-0256-46,21-004,JALAPA,JALAPA,"COLEGIO ""SAGRADO CORAZON""",3RA. CALLE 2-47 ZONA 2 BARRIO SAN FRANCISCO,79227638,VICTOR MANUEL PORTILLO RECINOS,FRANCISCO AUGUSTO CARRILLO HERNNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,jalapa,COLEGIO SAGRADO CORAZON,3RA. CALLE 2-47 ZONA 2 BARRIO SAN FRANCISCO,79227638,FRANCISCO AUGUSTO CARRILLO HERNNDEZ,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
21-01-0269-46,21-004,JALAPA,JALAPA,"COLEGIO PRIVADO MIXTO DE EDUCACION BASICA ""EDUCARE""","6A. AV. 0-67 ZONA 5, BARRIO SAN FRANCISCO",51948259,VICTOR MANUEL PORTILLO RECINOS,DORA ISABEL EĹS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA EDUCARE,"6A. AVENIDA. 0-67 ZONA 5, BARRIO SAN FRANCISCO",51948259,DORA ISABEL ELS,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
21-01-0274-46,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA""","CALLE TRNSITO ROJAS 7-79, ZONA 1 BARRIO LA DEMOCRACIA",79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RU͚,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,jalapa,COLEGIO PARTICULAR MIXTO LICEO JALAPA,"CALLE TRNSITO ROJAS 7-79, ZONA 1 BARRIO LA DEMOCRACIA",79220013,LESLY PRISCILA CARRERA RU,VICTOR MANUEL PORTILLO RECINOS,JALAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
