CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
17-01-0064-46,17-001,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA IXLU,40815948,RODOLFO MEDINA,VICENTE AVELAR HERNNDEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETEN,peten,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA IXLU,40815948,VICENTE AVELAR HERNNDEZ,RODOLFO MEDINA,FLORES,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
17-01-0081-46,17-030,PETEN,FLORES,"COLEGIO DE EDUCACION MEDIA ""SAN ISIDRO""","ALDEA IXLU, FLORES",55164373,RODOLFO MEDINA,RUTILIA SALGUERO CASTRO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETEN,peten,COLEGIO DE EDUCACION MEDIA SAN ISIDRO,"ALDEA IXLU, FLORES",55164373,RUTILIA SALGUERO CASTRO,RODOLFO MEDINA,FLORES,RURAL,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
17-01-0091-46,17-030,PETEN,FLORES,"COLEGIO CRISTIANO ""EL-HASHAMAYIM""","7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES",79261812,RODOLFO MEDINA,JORGE ULICES RUANO CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETEN,peten,COLEGIO CRISTIANO EL-HASHAMAYIM,"7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES",79261812,JORGE ULICES RUANO CANO,RODOLFO MEDINA,FLORES,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
17-01-0106-46,17-001,PETEN,FLORES,"INSTITUTO TECNICO DE EDUCACION MEDIA DE PETEN ""ITEMP""",6TA. AVE. ENTRE 3RA. Y 4TA. CALLE ZONA 1 SANTA ELENA,50357085,RODOLFO MEDINA,GLADIS CELENI ZAMORA MORALES DE CHOC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETEN,peten,INSTITUTO TECNICO DE EDUCACION MEDIA DE PETEN ITEMP,6TA. AVENIDA. ENTRE 3RA. Y 4TA. CALLE ZONA 1 SANTA ELENA,50357085,GLADIS CELENI ZAMORA MORALES DE CHOC,RODOLFO MEDINA,FLORES,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
17-01-0110-46,17-030,PETEN,FLORES,"CENTRO EDUCATIVO CRISTIANO ""GɎESIS""",ALDEA PAXCAMAN,50174360,RODOLFO MEDINA,ALMEIDA ESTER BIN TENI,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETEN,peten,CENTRO EDUCATIVO CRISTIANO ADONAI,ALDEA PAXCAMAN,50174360,ALMEIDA ESTER BIN TENI,RODOLFO MEDINA,FLORES,RURAL,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
17-01-0124-46,17-030,PETEN,FLORES,COLEGIO DE EDUCACIӎ MEDIA SAN ISIDRO,CASERIO IXLU,57817572,RODOLFO MEDINA,ORISELDA GUTIɒREZ MOLINA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETEN,peten,COLEGIO DE EDUCACION MEDIA SAN ISIDRO,CASERIO IXLU,57817572,ORISELDA GUTIⱰREZ MOLINA,RODOLFO MEDINA,FLORES,RURAL,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
17-01-0128-46,17-030,PETEN,FLORES,"INSTITUTO COMERCIAL ""VILLA CONCEPCION""","AVENIDA ZONA 2, DE LA PRIMERA LOTIFICACION SANTA ELENA, FLORES, PETEN",74248180,RODOLFO MEDINA,BRBARA MARIANELA MELGAR CEBALLOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETEN,peten,INSTITUTO COMERCIAL VILLA CONCEPCION,"AVENIDA ZONA 2, DE LA PRIMERA LOTIFICACION SANTA ELENA, FLORES, PETEN",74248180,BRBARA MARIANELA MELGAR CEBALLOS,RODOLFO MEDINA,FLORES,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
17-01-0136-46,17-030,PETEN,FLORES,INSTITUTO TECNOLӇICO HOWARD W. HUNTER.,"0 CALLE 0-65 ZONA 1, CALZADA VIRGILIO RODRIGUEZ MACAL SANTA ELENA DE LA CRUZ",79262016,RODOLFO MEDINA,OLGA MARINA VɌIZ PALENCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),PETEN,peten,INSTITUTO TECNOLӇICO HOWARD W. HUNTER.,"0 CALLE 0-65 ZONA 1, CALZADA VIRGILIO RODRIGUEZ MACAL SANTA ELENA DE LA CRUZ",79262016,OLGA MARINA VɌIZ PALENCIA,RODOLFO MEDINA,FLORES,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
17-01-0139-46,17-030,PETEN,FLORES,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8. AVENIDA 3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES,77970526,RODOLFO MEDINA,CARLOS ENRIQUE AUGUST VELIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETEN,peten,CENTRO EDUCATIVO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8. AVENIDA 3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES,77970526,CARLOS ENRIQUE AUGUST VELIZ,RODOLFO MEDINA,FLORES,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
17-01-0153-46,17-048,PETEN,FLORES,PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA-PRONEA-,SANTA ELENA,79262583,SANTIAGO CRUZ SERRANO,SANTIAGO CRUZ SERRANO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,PETEN,peten,PROGRAMA NACIONAL DE EDUCACIӍ ALTERNATIVA PRONEA,SANTA ELENA,79262583,SANTIAGO CRUZ SERRANO,SANTIAGO CRUZ SERRANO,FLORES,RURAL,OFICIAL,MONOLINGUE,DOBLE,A DISTANCIA
