CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
09-01-0098-46,09-002,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SUIZO QUETZALTENANGO""",1RA CALLE 43-50 ZONA 8,79267367,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MIRNA LETICIA CIFUENTES GODINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO MIXTO SUIZO QUETZALTENANGO,1RA CALLE 43-50 ZONA 8,79267367,MIRNA LETICIA CIFUENTES GODINEZ,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0125-46,09-005,QUETZALTENANGO,QUETZALTENANGO,"INSTITUTO NACIONAL ""JACOBO ARBENZ GUZMN""","4A. CALLE 25-20, ZONA 3",41514439,JUAN CARLOS RONQUILLO DE LEON,JUAN CARLOS HERNNDEZ R͏S,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO NACIONAL JACOBO ARBENZ GUZMN,"4A. CALLE 25-20, ZONA 3",41514439,JUAN CARLOS HERNNDEZ RS,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
09-01-0126-46,09-005,QUETZALTENANGO,QUETZALTENANGO,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES DE OCCIDENTE SECCIӎ NOCTURNA ""ALBERTO CARDENAS RODAS""",5A CALLE 12-60 ZONA 3,59861622,JUAN CARLOS RONQUILLO DE LEON,MAŔ JOSEFINA MENDOZA ESCOBAR,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,ESCUELA NACIONAL DE CIENCIAS COMERCIALES DE OCCIDENTE SECCIӍ NOCTURNA ALBERTO CARDENAS RODAS,5A CALLE 12-60 ZONA 3,59861622,MAR JOSEFINA MENDOZA ESCOBAR,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
09-01-0131-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA VARONES DE OCCIDENTE I.N.V.O,7MA. CALLE 29-25 ZONA 3,77611583,JUAN CARLOS RONQUILLO DE LEON,FRANCISCO MIGUEL TIRADO HUINAC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO NORMAL PARA VARONES DE OCCIDENTE I.N.V.O,7MA. CALLE 29-25 ZONA 3,77611583,FRANCISCO MIGUEL TIRADO HUINAC,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0132-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA SEяRITAS DE OCCIDENTE,14 AVENIDA A 0-36 ZONA 1,77612303,JUAN CARLOS RONQUILLO DE LEON,ROSELIA HAYDɅ LӐEZ MONZӎ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO NORMAL PARA VARONES DE ORIENTE,14 AVENIDA A 0-36 ZONA 1,77612303,ROSELIA HAYDɅ LӐEZ MONZӍ,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0134-46,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'AMERICANO',AVE. JESUS CASTILLO A-74 ZONA 1,77610735,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,LILIAM YOLANDA PEREYRA CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA SAN ANTONIO,AVENIDA. JESUS CASTILLO A-74 ZONA 1,77610735,LILIAM YOLANDA PEREYRA CASTILLO,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0135-46,09-036,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MODERNO,7A AVE. 6-45 ZONA 1,77614475,OBDULIO ROLANDO RUIZ ALVA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO RETALTECO,7A AVENIDA. 6-45 ZONA 1,77614475,,OBDULIO ROLANDO RUIZ ALVA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0137-46,09-004,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGELICO 'BETHANIA',CALLE C 0-22 ZONA 1,77630164,DINA RUBI GONZALEZ DE LEON,FERNANDO DAVID RIVERA ESPAс,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO EVANGELICO BET-EL SHAMMA,CALLE C 0-22 ZONA 1,77630164,FERNANDO DAVID RIVERA ESPAС,DINA RUBI GONZALEZ DE LEON,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0139-46,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AV JESUS CASTILLO 1-81 ZONA 3,77611270,PEDRO GERӎIMO SARAT CHAJ,MAŔ VALENTINA ANLEU D́Z,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AVENIDA JESUS CASTILLO 1-81 ZONA 3,77611270,MAR VALENTINA ANLEU DZ,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0140-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SEяRITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,WILSON RANFERI SIGUENZA LOPEZ,SARA JULIETA LӐEZ MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PARA SEЯRITAS ENCARNACION ROSAL,12 AVENIDA. 3-09 ZONA 1,77258985,SARA JULIETA LӐEZ MARTINEZ,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
