CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
14-01-0077-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,ARAM ALBERT JORDN SANDOVAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHE,quiche,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,ARAM ALBERT JORDN SANDOVAL,JOSE OSCAR TIPAZ VELASQUEZ,SANTA CRUZ DEL QUICHE,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
14-01-0079-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERŔ GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHE,quiche,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,LUIS HUMBERTO ECHEVERR GIL,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
14-01-0085-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,JOSE OSCAR TIPAZ VELASQUEZ,MIRIAM MARCELINA ALVAREZ GRIJALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHE,quiche,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,MIRIAM MARCELINA ALVAREZ GRIJALVA,JOSE OSCAR TIPAZ VELASQUEZ,SANTA CRUZ DEL QUICHE,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
14-01-0090-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""QIJ""",11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERNNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHE,quiche,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11A. CALLE 06-03 ZONA 1,77550476,FEDERICO HERNNDEZ ZAPETA,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,BILINGUE,DOBLE,FIN DE SEMANA
14-01-0108-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES MɎDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHE,quiche,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,JACQUELINE ARGENTINA SOLARES MɎDEZ,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
14-01-0112-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,JUSTO RUFINO PEREIRA GONZLEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHE,quiche,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JUSTO RUFINO PEREIRA GONZLEZ,JOSE OSCAR TIPAZ VELASQUEZ,SANTA CRUZ DEL QUICHE,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
14-01-0115-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSE OSCAR TIPAZ VELASQUEZ,JORGE HUMBERTO MOTTA CANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHE,quiche,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JORGE HUMBERTO MOTTA CANO,JOSE OSCAR TIPAZ VELASQUEZ,SANTA CRUZ DEL QUICHE,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
14-01-0163-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EVANGELICO METODISTA ""JOHN WESLEY""",6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,KARIN ROSALVA SOLӒZANO PAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHE,quiche,COLEGIO EVANGELICO METODISTA JOHN WESLEY,6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,KARIN ROSALVA SOLӒZANO PAR,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
14-01-0166-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHE,quiche,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,PEM. SILVIA EMILIANA BARRIOS BARRIOS,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
14-01-0167-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MULTIEDUCATIVO ""LA REFORMA""",16 CALLE 7-34 ZONA 4,77563633,GONZALO VENTURA LUX,CARLOS ROBERTO ARRIAGA DEL VALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHE,quiche,COLEGIO MULTIEDUCATIVO LA REFORMA,16 CALLE 7-34 ZONA 4,77563633,CARLOS ROBERTO ARRIAGA DEL VALLE,GONZALO VENTURA LUX,SANTA CRUZ DEL QUICHE,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
