CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
03-01-0052-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,5A. CALLE ORIENTE NO.17,78328708,JUAN DEMETRIO SICAJOL PEREZ,JULIO ABDIEL HERNNDEZ GARĆ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,5A. CALLE ORIENTE NUMERO.17,78328708,JULIO ABDIEL HERNNDEZ GARC,JUAN DEMETRIO SICAJOL PEREZ,ANTIGUA GUATEMALA,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
03-01-0056-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ANTIGUEя,3A. CALLE ORIENTE NO.11,78320670,ZOILA ESTHELA JONFE OROZCO,JOSUɠNATHN SOLӒZANO BERDڏ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,LICEO ANTIGUEЯ,3A. CALLE ORIENTE NUMERO.11,78320670,JOSUƓNATHN SOLӒZANO BERDڏ,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
03-01-0057-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,ZOILA ESTHELA JONFE OROZCO,MARCOS MANUEL HERNNDEZ PɒEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,COLEGIO DE LA SALLE,4A. AVENIDA NORTE N-26,78320556,MARCOS MANUEL HERNNDEZ PⱰEZ,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
03-01-0058-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL P/SEяRITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,78323391,JUAN DEMETRIO SICAJOL PEREZ,SONIA JUDITH GALVEZ GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,INSTITUTO NORMAL PSEЯRITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,78323391,SONIA JUDITH GALVEZ GARCIA,JUAN DEMETRIO SICAJOL PEREZ,ANTIGUA GUATEMALA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
03-01-0059-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KM.2,58437849,JUAN DEMETRIO SICAJOL PEREZ,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KILOMETRO.2,58437849,MANUEL ANTONIO ESTRADA ORTIZ,JUAN DEMETRIO SICAJOL PEREZ,ANTIGUA GUATEMALA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
03-01-0075-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MUNDO VERDE,2A. AVENIDA SUR NO. 46,78320315,ZOILA ESTHELA JONFE OROZCO,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,COLEGIO CAMINO VERDE,2A. AVENIDA SUR NUMERO. 46,78320315,MANUEL ANTONIO ESTRADA ORTIZ,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
03-01-0090-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NO. 86,78320255,ZOILA ESTHELA JONFE OROZCO,VERALUĆ ALESSANDRA CASTELLANOS GALINDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NUMERO. 86,78320255,VERALUC ALESSANDRA CASTELLANOS GALINDO,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
03-01-0103-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO COLONIAL BILINGUE,"LOTE F-6, MANZANA G, SAN PEDRO EL PANORAMA",79346373,ZOILA ESTHELA JONFE OROZCO,MERCEDES DE LAS NIEVES BLANCO ROMEU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,COLEGIO COLONIAL BILINGUE,"LOTE F-6, MANZANA G, SAN PEDRO EL PANORAMA",79346373,MERCEDES DE LAS NIEVES BLANCO ROMEU,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
03-01-0119-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA,2DA. CALLE ORIENTE NO. 1 ALDEA SAN JUAN DEL OBISPO,59721931,ZOILA ESTHELA JONFE OROZCO,VICTOR HUGO SIMӎ MARROQU͎,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,2DA. CALLE ORIENTE NUMERO. 1 ALDEA SAN JUAN DEL OBISPO,59721931,VICTOR HUGO SIMӍ MARROQU,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,RURAL,MUNICIPAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
03-01-0120-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO BELEN,PLAZUELA BELEN,78320322,ZOILA ESTHELA JONFE OROZCO,MAŔ DEL CARMEN GӍEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPEQUEZ,sacatepequez,COLEGIO BLESS,PLAZUELA BELEN,78320322,MAR DEL CARMEN GӍEZ,ZOILA ESTHELA JONFE OROZCO,ANTIGUA GUATEMALA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
