CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
12-01-0048-46,12-001,SAN MARCOS,SAN MARCOS,"INSTITUTO NORMAL MIXTO DE OCCIDENTE ""JUSTO RUFINO BARRIOS""",10A. AVENIDA 8-27 ZONA 3,77601385.0,ENIO RELMAN MALDONADO SOLIS,NELSON DE JESړ BAUTISTA LӐEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,INSTITUTO NORMAL MIXTO DE OCCIDENTE JUSTO RUFINO BARRIOS,10A. AVENIDA 8-27 ZONA 3,77601385,NELSON DE JESړ BAUTISTA LӐEZ,ENIO RELMAN MALDONADO SOLIS,SAN MARCOS,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
12-01-0049-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,44974285.0,ENIO RELMAN MALDONADO SOLIS,JOSɠJONATN MɎDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,san_marcos,INSTITUTO ADOLFO V. HALL CENTRAL,3A. AVENIDA 11-154 ZONA 1,44974285,JOSƓJONATN MɎDEZ ACEVEDO,ENIO RELMAN MALDONADO SOLIS,SAN MARCOS,URBANA,OFICIAL,MONOLINGUE,DOBLE,DIARIO(REGULAR)
12-01-0050-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147.0,HELIUV EDILZAR VASQUEZ NAVARRO,SOR CAROLINA PATRICIA MART͎EZ TRUJILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,COLEGIO SAN CARLOS,6A. AVENIDA 4-92 ZONA 2,77604147,SOR CAROLINA PATRICIA MARTEZ TRUJILLO,HELIUV EDILZAR VASQUEZ NAVARRO,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
12-01-0053-46,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164.0,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӍ,10A. AVENIDA 9-71 ZONA 3,77601164,MAGNOLIA ROSALETT CIFUENTES BARRIOS,JORGE EBERTO SOLORZANO SANCHEZ,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
12-01-0078-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""","12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743.0,HELIUV EDILZAR VASQUEZ NAVARRO,BRENDY LUCRECIA VSQUEZ VELSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,COLEGIO PREUNIVERSITARIO SAN PABLO,"12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743,BRENDY LUCRECIA VSQUEZ VELSQUEZ,HELIUV EDILZAR VASQUEZ NAVARRO,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
12-01-0085-46,12-063,SAN MARCOS,SAN MARCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA LAS LAGUNAS,31110226.0,HELIUV EDILZAR VASQUEZ NAVARRO,ACSA ABIGAIL ARGUETA VICENTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA LAS LAGUNAS,31110226,ACSA ABIGAIL ARGUETA VICENTE,HELIUV EDILZAR VASQUEZ NAVARRO,SAN MARCOS,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
12-01-0096-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",1A. CALLE CALLEJӎ LA ALBORADA 1-85 ZONA 4.,77249743.0,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS,san_marcos,INSTITUTO PRIVADO MIXTO SAN CARLOS,1A. CALLE CALLEJӍ LA ALBORADA 1-85 ZONA 4.,77249743,LISETH MARICELA BARRIOS DE LEӍ,JORGE EBERTO SOLORZANO SANCHEZ,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
12-01-0100-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3AV. 11-154 ZONA 1,44974285.0,ENIO RELMAN MALDONADO SOLIS,JOSɠJONATN MɎDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,INSTITUTO ADOLFO V. HALL CENTRAL,3AV. 11-154 ZONA 1,44974285,JOSƓJONATN MɎDEZ ACEVEDO,ENIO RELMAN MALDONADO SOLIS,SAN MARCOS,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
12-01-0105-46,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",1A. CALLE CALLEJӎ LA ALBORADA1-85 ZONA 4.,77249743.0,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,san_marcos,INSTITUTO PRIVADO MIXTO SAN CARLOS,1A. CALLE CALLEJӍ LA ALBORADA1-85 ZONA 4.,77249743,LISETH MARICELA BARRIOS DE LEӍ,JORGE EBERTO SOLORZANO SANCHEZ,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
12-01-0115-46,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,41508727.0,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VSQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,san_marcos,COLEGIO PRIVADO URBANO MIXTO AMIGOS,7A. CALLE 12-99 ZONA 4,41508727,EDIT ORFA VSQUEZ OROZCO,HELIUV EDILZAR VASQUEZ NAVARRO,SAN MARCOS,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
