CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
06-01-0039-46,06-001,SANTA ROSA,CUILAPA,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""PROFESOR JORGE HUGO BARILLAS MɎDEZ",LOTIFICACION BELLA VISTA EL CALVARIO,42997568.0,IRMA YOLANDA CHACON ARROYO,CARLA SELENE FORTUNY HERNNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,ESCUELA NACIONAL DE CIENCIAS COMERCIALES PROFESOR JORGE HUGO BARILLAS MɎDEZ,LOTIFICACION BELLA VISTA EL CALVARIO,42997568,CARLA SELENE FORTUNY HERNNDEZ,IRMA YOLANDA CHACON ARROYO,CUILAPA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
06-01-0069-46,06-001,SANTA ROSA,CUILAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"LOTIFICACION BELLA VISTA, BARRIO EL CALVARIO",58560517.0,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LӐEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"LOTIFICACION BELLA VISTA, BARRIO EL CALVARIO",58560517,NERY FRANCISCO MAURICIO LӐEZ,IRMA YOLANDA CHACON ARROYO,CUILAPA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
06-01-0091-46,06-001,SANTA ROSA,CUILAPA,"COLEGIO TECNOLOGICO MODERNO ""NUESTRA SEяRA DE LA ASUNCION""","ALDEA GUACAMAYAS, VILLA LAURA",41064795.0,IRMA YOLANDA CHACON ARROYO,JULIO HILARIO SNCHEZ CARRILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,COLEGIO TECNOLOGICO MODERNO NUESTRA SEЯRA DE LA ASUNCION,"ALDEA GUACAMAYAS, VILLA LAURA",41064795,JULIO HILARIO SNCHEZ CARRILLO,IRMA YOLANDA CHACON ARROYO,CUILAPA,RURAL,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
06-01-0099-46,06-001,SANTA ROSA,CUILAPA,ESCUELA NORMAL INTERCULTURAL,"LOTIFICACIӎ BELLA VISTA, BARRIO EL CALVARIO",78865480.0,IRMA YOLANDA CHACON ARROYO,ANGELA RAQUEL DIVAS QUEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,ESCUELA NORMAL INTERCULTURAL,"LOTIFICACIӍ BELLA VISTA, BARRIO EL CALVARIO",78865480,ANGELA RAQUEL DIVAS QUEVEDO,IRMA YOLANDA CHACON ARROYO,CUILAPA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
06-01-0105-46,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO""",CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1,78866063.0,JORGE BALDOMERO GONZALEZ BARRERA,ALEYDA MARGARITA MONTENEGRO HERNNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA,santa_rosa,CENTRO DE EDUCACIӍ EXTRAESCOLAR -CEEX- COOPERATIVA EL RECUERDOT-21,CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1,78866063,ALEYDA MARGARITA MONTENEGRO HERNNDEZ,JORGE BALDOMERO GONZALEZ BARRERA,CUILAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
06-01-0107-46,06-001,SANTA ROSA,CUILAPA,"COLEGIO PARTICULAR MIXTO ""DIVINO NIя""",COLONIA LAS VICTORIAS,59495525.0,IRMA YOLANDA CHACON ARROYO,LISBETH CAROLINA SEN CASڎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA,santa_rosa,COLEGIO PARTICULAR MIXTO DIVINO NIЯ,COLONIA LAS VICTORIAS,59495525,LISBETH CAROLINA SEN CASڎ,IRMA YOLANDA CHACON ARROYO,CUILAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
06-01-0110-46,06-039,SANTA ROSA,CUILAPA,"PROGRAMA NACIONAL DE EDUCACIӎ ALTERNATIVA, PRONEA","4A. CALLE 2-55 ZONA 4, BARRIO EL LLANITO, CUILAPA, SANTA ROSA",30060201.0,JORGE BALDOMERO GONZALEZ BARRERA,JORGE BALDOMERO GONZLEZ BARRERA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,SANTA ROSA,santa_rosa,PROGRAMA NACIONAL DE EDUCACIӍ ALTERNATIVA PRONEA,"4A. CALLE 2-55 ZONA 4, BARRIO EL LLANITO, CUILAPA, SANTA ROSA",30060201,JORGE BALDOMERO GONZLEZ BARRERA,JORGE BALDOMERO GONZALEZ BARRERA,CUILAPA,RURAL,OFICIAL,MONOLINGUE,DOBLE,A DISTANCIA
06-01-0116-46,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIӎ EXTRAESCOLAR ""SANTA ROSITA""","KILOMETRO 65.5 CARRETERA A EL SALVADOR ALDEA LOS ESCLAVOS CENTRO DE DETENCION PREVENTIVA ""EL BOQUERON""",30157695.0,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,CENTRO DE EDUCACION EXTRAESCOLAR SINTUSAC,KILOMETRO 65.5 CARRETERA A EL SALVADOR ALDEA LOS ESCLAVOS CENTRO DE DETENCION PREVENTIVA EL BOQUERON,30157695,GRICELDA ESCOBAR LEMUS,JORGE BALDOMERO GONZALEZ BARRERA,CUILAPA,RURAL,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
06-01-0118-46,06-039,SANTA ROSA,CUILAPA,"""CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- DEPARTAMENTAL""","4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",78865585.0,JORGE BALDOMERO GONZALEZ BARRERA,MARTA JULIA BARRERA BARRERA DE ALVAREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SANTA ROSA,santa_rosa,CENTRO DE EDUCACIӍ EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",78865585,MARTA JULIA BARRERA BARRERA DE ALVAREZ,JORGE BALDOMERO GONZALEZ BARRERA,CUILAPA,URBANA,OFICIAL,MONOLINGUE,DOBLE,SEMIPRESENCIAL
06-01-0119-46,06-001,SANTA ROSA,CUILAPA,"COLEGIO CATӌICO ECO-TECNOLӇICO ""SAGRADO CORAZON DE JESړ""","EL BOQUERӎ, KILӍETRO 66",35702888.0,IRMA YOLANDA CHACON ARROYO,JUANA MAŔ TELLO GARĆ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,santa_rosa,COLEGIO CATӋICO ECO-TECNOLӇICO SAGRADO CORAZON DE JESړ,"EL BOQUERӍ, KILӍETRO 66",35702888,JUANA MAR TELLO GARC,IRMA YOLANDA CHACON ARROYO,CUILAPA,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
