CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
07-01-0059-46,07-003,SOLOLA,SOLOLA,"LICEO TECNOLӇICO BILING܅ ""CUAUHTEMALLAN DE SOLOLA""",CASER͏ CAYALl ALDEA EL TABLӎ,35923669,V̓TOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLA,solola,LICEO TECNOLӇICO BILING CUAUHTEMALLAN DE SOLOLA,CASER CAYALL ALDEA EL TABLӍ,35923669,MOISES GUARCAX CHIROY,VTOR CHUMIL CHIROY,SOLOLÁ,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
07-01-0061-46,07-003,SOLOLA,SOLOLA,"LICEO TECNOLӇICO BILING܅ ""CUAUHTEMALLAN DE SOLOLA""",CASER͏ CAYALl ALDEA EL TABLӎ,35923669,V̓TOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLA,solola,LICEO TECNOLӇICO BILING CUAUHTEMALLAN DE SOLOLA,CASER CAYALL ALDEA EL TABLӍ,35923669,MOISES GUARCAX CHIROY,VTOR CHUMIL CHIROY,SOLOLÁ,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
07-01-0096-46,07-019,SOLOLA,SOLOLA,COLEGIO MONTE SION,6A. AVENIDA 8-07 ZONA 2 BARRIO EL CALVARIO,77623832,ESTELA BEN AJCALӎ DE TUY,JOSɠDAVID TZAY PUC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLA,solola,COLEGIO MONTE SION,6A. AVENIDA 8-07 ZONA 2 BARRIO EL CALVARIO,77623832,JOSƓDAVID TZAY PUC,ESTELA BEN AJCALӍ DE TUY,SOLOLÁ,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
07-01-0106-46,07-019,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5TA. CALLE 0-37 BARRIO SAN ANTONIO,32442607,ESTELA BEN AJCALӎ DE TUY,LINCY MAŔ TIU GARĆ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLA,solola,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5TA. CALLE 0-37 BARRIO SAN ANTONIO,32442607,LINCY MAR TIU GARC,ESTELA BEN AJCALӍ DE TUY,SOLOLÁ,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
07-01-0121-46,07-004,SOLOLA,SOLOLA,CENTRO EDUCATIVO DE FORMACIӎ PROFESIONAL -CEFPRO-,"CASER͏ COXOM, ALDEA SAN JUAN ARGUETA",59356919,V̓TOR MIGUEL MENCHڠMENCHڼ/td>,ELIAS MIGUEL ROSALES TAHAY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLA,solola,CENTRO EDUCATIVO DE FORMACIӍ PROFESIONAL -CEFPRO-,"CASER COXOM, ALDEA SAN JUAN ARGUETA",59356919,ELIAS MIGUEL ROSALES TAHAY,VTOR MIGUEL MENCHڠMENCHڼTD,SOLOLÁ,RURAL,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
07-01-0124-46,07-003,SOLOLA,SOLOLA,"LICEO TECNOLӇICO BILING܅ ""CUAUHTEMALLAN DE SOLOLb",CASER͏ CAYALl ALDEA EL TABLӎ,35923669,V̓TOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLA,solola,LICEO TECNOLӇICO BILING CUAUHTEMALLAN DE SOLOLA,CASER CAYALL ALDEA EL TABLӍ,35923669,MOISES GUARCAX CHIROY,VTOR CHUMIL CHIROY,SOLOLÁ,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
07-01-0144-46,07-019,SOLOLA,SOLOLA,"COLEGIO CIENTIFICO ""MONTESSORI""","9A. CALLE 8-81 ZONA 2, BARRIO EL CALVARIO",77623427,ESTELA BEN AJCALӎ DE TUY,YOVANY ISRAEL ROSALES CORZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLA,solola,COLEGIO CIENTIFICO MONTESSORI,"9A. CALLE 8-81 ZONA 2, BARRIO EL CALVARIO",77623427,YOVANY ISRAEL ROSALES CORZO,ESTELA BEN AJCALӍ DE TUY,SOLOLÁ,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
07-01-0152-46,07-003,SOLOLA,SOLOLA,"LICEO PROFESIONAL ""LAS AMERICAS""","CASER͏ CENTRAL, CANTӎ EL TABLӎ",77624703,V̓TOR CHUMIL CHIROY,CAMILIO YAXӎ COSIGU|/td>,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLA,solola,LICEO PROFESIONAL LAS AMERICAS,"CASER CENTRAL, CANTӍ EL TABLӍ",77624703,CAMILIO YAXӍ COSIGUTD,VTOR CHUMIL CHIROY,SOLOLÁ,RURAL,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
07-01-0158-46,07-002,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACIӎ DIVERSIFICADA POR COOPERATIVA,"CASER͏ CENTRAL, ALDEA PIXABAJ",45684531,CARLOS RIGOBERTO POS TUY,SEBASTIAN TUN TUN,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLA,solola,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEСNZA,"CASER CENTRAL, ALDEA PIXABAJ",45684531,SEBASTIAN TUN TUN,CARLOS RIGOBERTO POS TUY,SOLOLÁ,RURAL,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
07-01-0162-46,07-004,SOLOLA,SOLOLA,INSTITUTO DE EDUCACIӎ DIVERSIFICADA POR COOPERATIVA CHAQUIJY|/td>,"CASER͏ COOPERATIVA, ALDEA CHAQUIJY|/td>",44554930,V̓TOR MIGUEL MENCHڠMENCHڼ/td>,V̓TOR SALOJ YAXӎ,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLA,solola,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEСNZA,"CASER COOPERATIVA, ALDEA CHAQUIJYTD",44554930,VTOR SALOJ YAXӍ,VTOR MIGUEL MENCHڠMENCHڼTD,SOLOLÁ,RURAL,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
