CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
10-01-0078-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,57154933.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,ALBA PATRICIA CIFUENTES DIAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,57154933,ALBA PATRICIA CIFUENTES DIAZ,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
10-01-0083-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,78718369.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,78718369,LIDIA ELIZABETH JEREZ DE LEӍ,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
10-01-0088-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA ZONA 2,55023086.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CARLOS GUSTAVO FLORES CALDERӎ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA ZONA 2,55023086,CARLOS GUSTAVO FLORES CALDERӍ,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
10-01-0095-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696.0,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAŔ ELENA ROCHA NAVARRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,COLEGIO PARTICULAR MIXTO LA ILUSTRACION,3A AVENIDA. 4-92 ZONA 1,41639696,MAR ELENA ROCHA NAVARRO,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
10-01-0097-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,41614325.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,COLEGIO PRIVADO MIXTO PERPETUO SOCORRO,1A CALLE 3-39 ZONA 1,41614325,SENAIDA ANAVELA BARRIENTOS CASEROS,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
10-01-0098-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO DE COMPUTACION INFORMATICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",78679993.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JOSɠMAŔ RODR͇UEZ TOMS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,INSTITUTO DE COMPUTACION INFORMATICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",78679993,JOSƓMAR RODRUEZ TOMS,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
10-01-0106-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",47191161.0,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CLAUDIA ROSEMARY FIGUEROA XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",47191161,CLAUDIA ROSEMARY FIGUEROA XICAY,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
10-01-0143-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""NUEVA FAMILIA""",KM 1 CARRETERA A SAN FRANCISCO ZAPOTITLAN,78720924.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,DULCE ROSARIO AVILA TOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,COLEGIO PRIVADO MIXTO LA FAMILIA,KILOMETRO 1 CARRETERA A SAN FRANCISCO ZAPOTITLAN,78720924,DULCE ROSARIO AVILA TOJ,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
10-01-0150-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA MAZATENANGO,CANTON SANTA CRISTINA,51193317.0,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,ERIK DANIEL LEMUS JEREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPEQUEZ,suchitepequez,INSTITUTO NACIONAL DE EDUCACIӍ DIVERSIFICADA POR MADUREZ,CANTON SANTA CRISTINA,51193317,ERIK DANIEL LEMUS JEREZ,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MAZATENANGO,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
10-01-0161-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2A. AVENIDA 4-84 ZONA 1,51591615.0,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CARLOS ALBERTO SARD`,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPEQUEZ,suchitepequez,COLEGIO PRIVADO MIXTO AMERICANO,2A. AVENIDA 4-84 ZONA 1,51591615,CARLOS ALBERTO SARD,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAZATENANGO,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
