CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
08-01-0106-46,08-001,TOTONICAPAN,TOTONICAPAN,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661038,MIGUEL AJPOP VSQUEZ,OTTO GILBERTO AMADO TELLO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661038,OTTO GILBERTO AMADO TELLO,MIGUEL AJPOP VSQUEZ,TOTONICAPÁN,RURAL,OFICIAL,BILINGUE,MATUTINA,DIARIO(REGULAR)
08-01-0107-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSɠLUIS IXCAQUIC AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO MIXTO PARTICULAR JUAN FRANKLIN,"3A. CALLE 12-08, ZONA 2",77661920,JOSƓLUIS IXCAQUIC AGUILAR,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
08-01-0203-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""",6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,JUAN GILBERTO TZIC TZIC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,JUAN GILBERTO TZIC TZIC,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
08-01-0212-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""EL SHADAI""","8. CALLE 5-00, ZONA 4",59238825,MIGUEL AJPOP VASQUEZ,JESړ CRISTINA LӐEZ TZOC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO PRIVADO MIXTO BETHEZDA,"8. CALLE 5-00, ZONA 4",59238825,JESړ CRISTINA LӐEZ TZOC,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
08-01-0214-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""",6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUREZ RODR͇UEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,HIGINIO DAVID JUREZ RODRUEZ,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
08-01-0217-46,08-003,TOTONICAPAN,TOTONICAPAN,"INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA, K'AK'NO' JIB'AL",ALDEA CHUATROJ,57377254,OSCAR MOISɓ LACN ALVAREZ,VICTOR FELIPE BAQUIAX PUC,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA,ALDEA CHUATROJ,57377254,VICTOR FELIPE BAQUIAX PUC,OSCAR MOISƁ LACN ALVAREZ,TOTONICAPÁN,RURAL,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
08-01-0222-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""",6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUREZ RODR͇UEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,HIGINIO DAVID JUREZ RODRUEZ,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
08-01-0232-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPN,"9NA. CALLE ""A"" 08-043 ZONA 3",56769964-77663283,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARĆ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPAN,totonicapan,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPN,9NA. CALLE A 08-043 ZONA 3,56769964,LUIS NERY MORALES GARC,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
08-01-0233-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPN,"9NA. CALLE ""A"" 08-043 ZONA 3",56769964-7766328,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARĆ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPN,9NA. CALLE A 08-043 ZONA 3,56769964,LUIS NERY MORALES GARC,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
08-01-0238-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VASQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN,totonicapan,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,PATROCINIO ABELINO TZUL BARRENO,MIGUEL AJPOP VASQUEZ,TOTONICAPÁN,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
