CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-01-0001-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO CONSTANCIO C.VIGIL,2A. AVENIDA SUR N.3,78320154,ZOILA ESTHELA JONFE OROZCO,MAŔ ELENA ANZUETO BARDALES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0002-42,,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP,ALDEA SANTA CATARINA BOBADILLA,30545726,AURA MARINA LORENZO SAGCHE,VICTOR MANUEL RIVERA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0003-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO MIXTO BILINGUE ANGEL GABRIEL,1ERA CALLE PONIENTE FINAL NUMERO 61,78327439,ZOILA ESTHELA JONFE OROZCO,YANSI PATRICIA MOLINA JIMENEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0004-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM 'TIPO MINIMO',CANTON EL LLANO ZONA 2 ALDEA SAN FELIPE DE JESUS,78311457,JUAN DEMETRIO SICAJOL PEREZ,OSCAR ADOLFO EĹS ESTRADA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0005-42,,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM,ALDEA SANTA ANA,55580894,AURA MARINA LORENZO SAGCHE,ANA YOLANDA CHIROY SANTOS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0006-42,,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM FRANCISCO MARROQUIN,ALDEA SAN JUAN DEL OBISPO,,AURA MARINA LORENZO SAGCHE,MAŔ FRANCISCA SOLӒZANO GARĆ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0007-42,,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM,"PRIMERA AVENIDA, TERCER CANTON, NO. 60-A ALDEA SAN PEDRO LAS HUERTAS",,AURA MARINA LORENZO SAGCHE,MAYDA LUCRECIA VILLATORO MILIN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0008-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO INTEGRAL SANTIAGO,LOTIFICACION EL COROZAL NO. 6-7 ALDEA SANTA ANA,78325188,ZOILA ESTHELA JONFE OROZCO,JOSɠANTONIO CARRASCOZA OCHAETA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0010-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO SANTIAGO DE LOS CABALLEROS,"LOTIFICACION SAN PEDRO EL PANORAMA LOTES 67,68,Y 69",41478868,ZOILA ESTHELA JONFE OROZCO,LUIS FELIPE CONTRERAS QUINTANILLA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0011-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP CAYETANA ECHEVERRIA,3A. CALLE ORIENTE N-14,,JUAN DEMETRIO SICAJOL PEREZ,ANA SILVIA MONROY COBAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0012-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EOU PARA VARONES NO.3 MARIANO NAVARRETE,CALLE DEL MANCHEN NO.4,42673578,JUAN DEMETRIO SICAJOL PEREZ,CARLOS HUMBERTO SITAMUL SANCHEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0013-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A ESCUELA ANTONIO CASTRO Y ESCOBAR,AVENIDA DEL DESENGAя N-18,78320795,JUAN DEMETRIO SICAJOL PEREZ,LESLY YADIRA PANIAGUA MONTERROSO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0015-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,ZOILA ESTHELA JONFE OROZCO,MARCOS MANUEL HERNNDEZ PɒEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0016-42,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ROSALES,KM. 46.3 CARRETERA A CIUDAD VIEJA NO. 41,77569111,ZOILA ESTHELA JONFE OROZCO,MONICA JUDITH DE LEON CHAVEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0017-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A ESCUELA J. ADRIAN CORONADO P.,5A CALLE PONIENTE N-21,78325169,JUAN DEMETRIO SICAJOL PEREZ,CRISTHIAN STUARDO GONZLEZ FIGUEROA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0020-45,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,NUCLEOS FAMILIARES EDUCATIVOS PARA EL DESARROLLO NUFED,SAN BARTOLEME BECERRA,59166698,JUAN DEMETRIO SICAJOL PEREZ,VIVIAN EDITH FLORES MONZӎ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0021-42,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,CEIN PAIN ANEXO A EOUN NO. 2 ANTONIO CASTRO Y ESCOBAR,AVENIDA DEL DESENGAя NO. 18,78320795,JUAN DEMETRIO SICAJOL PEREZ,LESLY YADIRA PANIAGUA MONTERROSO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0022-43,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO CONSTANCIO C. VIGIL,2A. AVENIDA SUR N-3,78320154,ZOILA ESTHELA JONFE OROZCO,MAŔ ELENA ANZUETO BARDALES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0023-43,,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EORM,ALDEA SANTA ANA,55580894,AURA MARINA LORENZO SAGCHE,ANA YOLANDA CHIROY SANTOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0025-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EORM,CANTONES VUELTA GRANDE Y AGUA COLORADA ALDEA EL HATO,43543170,JUAN DEMETRIO SICAJOL PEREZ,OSCAR ROLANDO VELASQUEZ LӐEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0026-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EOUN PEDRO BETHANCOURT,6A. CALLE ORIENTE ENTRE 1A. Y 2A. AVENIDA SUR,78323112,JUAN DEMETRIO SICAJOL PEREZ,ANA CRISTINA MENA PONS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0027-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EOUV NO.3 MARIANO NAVARRETE,CALLE DEL MANCHEN,42673578,JUAN DEMETRIO SICAJOL PEREZ,CARLOS HUMBERTO SITAMUL SANCHEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0028-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EOUV NO.1 J. ADRIAN CORONADO P.,5A. CALLE PONIENTE NO.21,78325169,JUAN DEMETRIO SICAJOL PEREZ,CRISTHIAN STUARDO GONZLEZ FIGUEROA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0029-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EOUN NO. 2 ANTONIO CASTRO Y ESCOBAR,AVENIDA DEL DESENGAя N-18,78320795,JUAN DEMETRIO SICAJOL PEREZ,LESLY YADIRA PANIAGUA MONTERROSO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0030-43,,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EOUV NO.2 LUIS MENA,1A. AVENIDA NORTE N-25,78321507,JUAN DEMETRIO SICAJOL PEREZ,EDWIN ARMANDO MORALES CUYڎ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0031-43,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO BELEN,PLAZUELA BELEN,78320322,ZOILA ESTHELA JONFE OROZCO,MAŔ DEL CARMEN GӍEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0032-43,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ANTIGUEя,3A. CALLE ORIENTE N-11,78311081,ZOILA ESTHELA JONFE OROZCO,JOSUɠNATHN SOLӒZANO BERDڏ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0033-43,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ROSALES,KM. 46.3 CARRETERA A CIUDAD VIEJA NO. 41,77569111,ZOILA ESTHELA JONFE OROZCO,MONICA JUDITH DE LEON CHAVEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
03-01-0034-43,,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,ZOILA ESTHELA JONFE OROZCO,MARCOS MANUEL HERNNDEZ PɒEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPɑUEZ
