CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0001-42,,12-002,SAN MARCOS,SAN MARCOS,"EODP NO. 1 ""FRANCISCA SANDOVAL""",7A. AVENIDA 5-74 ZONA 2,55315928.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,ROXANA ELIZABETH LӐEZ FUENTES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0002-42,,12-002,SAN MARCOS,SAN MARCOS,EODP NO. 2 'GEORGINA RODAS DE ESCOBAR',AVE. EL REFORMADOR COLONIA JUSTO RUFINO BARRIOS ZONA 5,42914527.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,EMILIA MAXIMINA CARDONA BAUTISTA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0003-42,,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164.0,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0004-42,,12-002,SAN MARCOS,SAN MARCOS,COLEGIO EVANGELICO MIXTO NAZARENO,15 AVENIDA 5-36 ZONA 5,44656690.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,ENNA DEL CARMEN GIRӎ RODR͇UEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0006-42,,12-002,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""","6A. AVENIDA, 4-92 ZONA 2",77604147.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,SOR CAROLINA PATRICIA MART͎EZ TRUJILLO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0007-42,,12-002,SAN MARCOS,SAN MARCOS,COLEGIO LA ASUNCIӎ,5A. CALLE FINAL 15-575 ZONA 5,77605316.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,ROSALINA TEODORA BAQUIAX VSQUEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0008-42,,12-002,SAN MARCOS,SAN MARCOS,EODP ANEXA A EORM JULIA REBECA DE CANCINOS,ALDEA LAS LAGUNAS,,AMILSA YAMILETH ESTRADA RODR͇UEZ,PRISCILIA JACKELINA MORALES PɒEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0009-42,,12-002,SAN MARCOS,SAN MARCOS,EODP,ALDEA SAN RAFAEL SOCHE,54104765.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,MILDRED LORENA BARRIOS OCHOA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0010-43,,12-002,SAN MARCOS,SAN MARCOS,EOUN TIPO FEDERACION 'DR. ULISES ROJAS BENFELL',2A. AVENIDA Y 11 CALLE ZONA 1,55596615.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,VICTOR HUGO OCHOA GLVEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0011-43,,12-002,SAN MARCOS,SAN MARCOS,EOUM DE APLICACION 'NACIONES UNIDAS',12 AVENIDA 8-48 ZONA 3,31191046.0,AMILSA YAMILETH ESTRADA RODR͇UEZ,ABIMELEC MATUSAEL LӐEZ BAUTISTA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
