CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0001-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA PIXABAJ,57671028,CARLOS RIGOBERTO POS TUY,GLADIS ILEANA CHUMIL TUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0001-45,,07-003,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""",CASER͏ CAYALl ALDEA EL TABLӎ,35923669,V̓TOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0002-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL TRIUNFO, CANTON PUJUJIL II",42520271,CARLOS RIGOBERTO POS TUY,CARLOS FEDERICO PUAC JOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0003-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ENCANTO ALDEA PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,V̓TOR ALFREDO CHIP͎ CHIROY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0004-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA FE, ALDEA PUJUJIL II",42132088,CARLOS RIGOBERTO POS TUY,SANTOS RAFAEL TUN YAXӎ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0005-41,,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA UNION, ALDEA ARGUETA",44490148,V̓TOR MIGUEL MENCHڠMENCHڼ/td>,EUSEBIO ANDRɓ PAR LӐEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0006-41,,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO COXOM ALDEA ARGUETA,51503442,V̓TOR MIGUEL MENCHڠMENCHڼ/td>,YOHANA SUSANA TZUL TALɼ/td>,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0007-41,,07-005,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",32971776,JUSTO SANTIAGO PONCIO Pڼ/td>,LUCIA GUADALUPE CHOROR CHUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0009-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",48517654,CARLOS RIGOBERTO POS TUY,FRANCISCA ALBERTA GUACHIAC GUARCHAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
07-01-0010-41,,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASER͏ SAN JUAN, ALDEA PIXABAJ",57309419,CARLOS RIGOBERTO POS TUY,PABLO JEATZ POCOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOL|/td>
