CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0001-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP NO.1,"11 CALLE FINAL ZONA 1, FRENTE INST. TECNICO INDUSTRIAL",58359230,RITA ELENA GONZALEZ GARCIA,MAŔ CONSUELO CHINCHILLA VSQUEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0003-42,,10-018,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO ""FROEBEL""",11. CALLE FINAL ZONA 3 COLONIA SAN ANDRES,41341472,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,LIGIA ALEJANDRA CIFUENTES GODOY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0004-42,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,78718369,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEӎ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0005-42,,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A AVE. 2-21 ZONA 1,40281538,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SANDRY ZIOMARA MANCIO MɎDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0006-42,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1A AVE. SUR FINAL 12-70 ZONA 2,59465095,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JAQUELINE ESPERANZA LIMA LINARES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0011-42,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,78718090,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0012-42,,10-018,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAŔ ELENA ROCHA NAVARRO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0013-42,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""ESTHER CARRANZA""",3A AVE. 1-40 ZONA 2,58598542,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MYNOR JOSE FARFN PELLECER,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0014-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM JUSTO RUFINO BARRIOS,FINAL AVENIDA DOLORES FRENTE A OBRAS PUBLICAS,52133642,RITA ELENA GONZALEZ GARCIA,MARIO FRANCISCO LOPEZ AVILA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0015-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM LOS ALMENDROS,COLONIA LOS ALMENDROS ZONA 2,41490024,RITA ELENA GONZALEZ GARCIA,CAROL ANGɌICA VALIENTE TALɼ/td>,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0016-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM,9A. CALLE ZONA 3 COLONIA SAN ANDRES,78725949,RITA ELENA GONZALEZ GARCIA,AURA ELIZABETH ALTUZAR AGUIRRE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0017-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM NO. 1 MARIA CHINCHILLA,1A. AVENIDA 0-03 ZONA 2 CANTӎ SANTA CRISTINA,55153529,RITA ELENA GONZALEZ GARCIA,KARLA OLIVIA GALIANO PUAC,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0018-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM BARRIO SAN BENITO,BARRIO SAN BENITO ZONA 3,78718218,RITA ELENA GONZALEZ GARCIA,TANIA ELVIRA MARROQU͎ VSQUEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0019-42,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EODP NO.2,5A. CALLE 3-98 ZONA 1,41166938,RITA ELENA GONZALEZ GARCIA,LILIANA NINETH MART͎EZ PɒEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
