CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0001-41,,08-002,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,ALDEA CHIPUAC,57497313,JOSɠVICTOR CHAMORRO HUITZ,ROSA ELENA DE LEӎ DE LEӎ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0002-41,,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE CHICHACLAN CANTON PAQUI,50413667,FRANCISCO RECINO XALIX SAY,ARACELY ELIZABETH CHAMORRO ALVARADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0003-41,,08-005,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE PATUJ CANTON PANQUIX,59368109,ROBERTO APARICIO RECINOS VALDEZ,GREGORIO GASPAR PUAC GARĆ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0004-41,,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL GARCIA ELGUETA,CANTON CHOTACAJ,77664033,FRANCISCO RECINO XALIX SAY,LUĆ FRANCISCA PU TZIC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0005-41,,08-001,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE XENAJTAJUYUP CANTON CHIYAX,47101653,MIGUEL AJPOP VSQUEZ,OSCAR ALEJANDRO GARĆ VELSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0006-41,,08-006,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,CANTON TZANIXNAM,51869205,RENE OSWALDO TOYOM JUAREZ,GERMAN SAMUEL LӐEZ PIVARAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0007-41,,08-001,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM TECUN UMAN,CANTON CHIYAX,57877867,MIGUEL AJPOP VSQUEZ,LEONARDO RAFAEL YAX TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0008-41,,08-006,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL R. ESPADA,CANTON PACHOC,48631029,RENE OSWALDO TOYOM JUAREZ,RODOLFO GUMERCINDO VSQUEZ GUINEA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0010-41,,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM OSCAR DE LEON PALACIOS,CANTON POXLAJUJ,58586897,FRANCISCO RECINO XALIX SAY,MARITZA VERALY CIFUENTES ARRIOLA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
08-01-0011-41,,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM RAFAEL ALVAREZ OVALLE,ALDEA CHUCULJUYUP,58881047,OSCAR MOISɓ LACN ALVAREZ,JOSɠPEDRO GARCIA LACN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPN
