CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0001-42,,19-001,ZACAPA,ZACAPA,EODP DR. ALFREDO CARRILLO RAMIREZ,"15 AVENIDA 3-08 ZONA 1, BARRIO LA PARROQUIA",79410315.0,SONIA HAYDEE RUIZ WONG,MARICELA BEATRIZ SALGUERO RAMOS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0002-42,,19-001,ZACAPA,ZACAPA,EODP,8A. CALLE ESQUINA 1-25 ZONA 2 BARRIO LA ESTACION,42894329.0,SONIA HAYDEE RUIZ WONG,JEANNE KARINA ROMERO RUIZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0003-42,,19-001,ZACAPA,ZACAPA,EODP,BARRIO SAN MARCOS,57697930.0,SONIA HAYDEE RUIZ WONG,IRMA DALILA URRUTIA YANES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0004-42,,19-019,ZACAPA,ZACAPA,COLEGIO MARIA INMACULADA,12 CALLE A 14-03 ZONA 1,79414064.0,HUGO WILFREDO VARGAS CHACON,AGNES JUDITH PRADO LORETO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0005-42,,19-019,ZACAPA,ZACAPA,COLEGIO BILING܅ MONTESSORI,4A CALLE 3-41 ZONA 2,79410965.0,HUGO WILFREDO VARGAS CHACON,MILVIA ODETH MENɎDEZ MORALES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0008-42,,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL DE PARVULOS JM,"BARRIO LA REFORMA, ZONA 2",33170598.0,SONIA HAYDEE RUIZ WONG,LEILA YANIRA MONROY TOBAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0008-43,,19-001,ZACAPA,ZACAPA,EOUN NO.1 PROFA. CARLOTA WONG DE RUIZ,BARRIO LA REFORMA,79410447.0,SONIA HAYDEE RUIZ WONG,HILDA ARACELY SOLIS TOBAR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0009-42,,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL URBANA MIXTA DE PARVڌOS NO. 2,16 AV. 9-51 BARRIO TAMARINDAL ZONA 1,30204652.0,SONIA HAYDEE RUIZ WONG,FLOR DE MAŔ TOBAR GALINDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0009-43,,19-001,ZACAPA,ZACAPA,EOUV NO.2 LIC. MANUEL ROLDAN MORENO,16 AVE. 9-51 BARRIO TAMARINDAL ZONA 1,79412820.0,SONIA HAYDEE RUIZ WONG,INGRID MARIBEL GARĆ HERNNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0010-42,,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL URBANA MIXTA DE PRVULOS NO.1,COLONIA BOSQUES DE SAN JULIAN,59792704.0,SONIA HAYDEE RUIZ WONG,ANA CECILIA GARĆ TORRES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0010-43,,19-022,ZACAPA,ZACAPA,EOUV NO.1,COLONIA BOSQUES DE SAN JULIAN,42115057.0,HUGO WILFREDO VARGAS CHACON,MARIO OVIDIO AVILA PORTILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0011-43,,19-001,ZACAPA,ZACAPA,EOUM JOSE ARCHILA LEMUS,8A. CALLE 1-25 ZONA 2,79414985.0,SONIA HAYDEE RUIZ WONG,LILIANA ANTӎ BELTETӎ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0012-43,,19-001,ZACAPA,ZACAPA,EOUN NO.2 PEDRO NUFIO,BARRIO LA LADRILLERA,79414573.0,SONIA HAYDEE RUIZ WONG,MAŔ ESTHER GONZLEZ GALDAMEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0013-42,,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL DE PRVULOS,"COLONIA BANVI, ZONA 4",59299598.0,SONIA HAYDEE RUIZ WONG,ILIANA MAŔ PINTO BARDALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0013-43,,19-001,ZACAPA,ZACAPA,EOUM ELBA PERALTA VIUDA DE OLAVARRUETH,"COLONIA BANVI, ZONA 4",79414187.0,SONIA HAYDEE RUIZ WONG,XIOMARA JUDITH PEс VANEGAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
